Species,Taxa2,Taxa,Class,Order,Family,Genus,Commercial,Origin,Online link,Habitat
Synodus saurus,Fish,Osteichthyes,Actinopterygii,Aulopiformes,Synodontidae,Synodus,Y,N,,Demersal fish
Terapon puta,Fish,Osteichthyes,Actinopterygii,Perciformes,Terapontidae,Terapon,N,I,https://www.fishbase.se/summary/7946,Demersal fish
Torpedo marmorata,Fish,Chondrichthyes,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,N,N,https://www.fishbase.se/summary/Torpedo-marmorata.html,Demersal fish
Torpedo torpedo,Fish,Chondrichthyes,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,N,N,,Demersal fish
Torquigener flavimaculosus,Fish,Osteichthyes,Actinopterygii,Tetraodontiformes,Tetraodontidae,Torquigener,N,I,https://www.fishbase.se/summary/26639,Demersal fish
Trachinus draco,Fish,Osteichthyes,Actinopterygii,Perciformes,Trachinidae,Trachinus,N,N,https://www.fishbase.se/summary/1363,Demersal fish
Trachurus mediterraneus,Fish,Osteichthyes,Actinopterygii,Perciformes,Carangidae,Trachurus,Y,N,,Pelagic fish
Trachurus picturatus,Fish,Osteichthyes,Actinopterygii,Perciformes,Carangidae,Trachurus,Y,N,,Pelagic fish
Trachurus trachurus,Fish,Osteichthyes,Actinopterygii,Perciformes,Carangidae,Trachurus,Y,N,,Pelagic fish
Trichiurus lepturus,Fish,Osteichthyes,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,Y,N,https://www.fishbase.se/summary/1288,Pelagic fish
Trypauchen vagina,Fish,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,Trypauchen,N,I,,Demersal fish
Upeneus moluccensis,Fish,Osteichthyes,Actinopterygii,Perciformes,Mullidae,Upeneus,Y,I,,Demersal fish
Upeneus pori,Fish,Osteichthyes,Actinopterygii,Perciformes,Mullidae,Upeneus,Y,I,,Demersal fish
Uranoscopus scaber,Fish,Osteichthyes,Actinopterygii,Perciformes,Uranoscopidae,Uranoscopus,N,N,https://www.fishbase.se/summary/1779,Demersal fish
Xyrichthys novacula,Fish,Osteichthyes,Actinopterygii,Perciformes,Labridae,Xyrichthys,N,N,,Demersal fish
Zeus faber,Fish,Osteichthyes,Actinopterygii,Zeiformes,Zeidae,Zeus,Y,N,https://www.fishbase.se/summary/Zeus-faber.html,Pelagic fish
